video_name,text
Nn9spzBqmMs--51,Mukandan Misra had long been devoted to him.
6dvgNioTESo--64,felt that only those who left their homes could gain true knowledge.
rLPUVyQVRb8_e1,The paper publishes two brainteasers every Saturday.
1-YUm865HA0--29,could be turned over better than with the wooden plow share.
zoBP39jyRMs--228,"Gram Bhojak, why do you think?"
5SmzEv-Y3Ao--25,2. Read these lines from the poem
36a355ab7513-46,Where have you seen crowds of people?
nSQUhb44s5M--132,How much higher is the temperature in Mumbai from that in Sri Nagar? 3
hM959_pXlrE--116,which is made up of plastic.
07285daf5fd0-39,"It's true, so we write T. 2."
pWXcMusN_mw_d,to make an exact copy of something
zoBP39jyRMs--77,It was an important center for the worship.
0853cfecacd9-52,Match the shapes with the objects.
N7O_KBF1Qqc--47,Look out of the window a minute. Will you?
Mt3ApRf_B8I_e4,"The purpose, I think, is to ponder questions important to human experience."
mJ69KqzX3lU--82,Children can be asked to check their guesses by tiling things wherever possible.
2f9740e42167-106,And then there is a capital D
58131855adfb-21,Imagine how the wind makes a noise or what the leaves are saying.
4c422e10f21d-39,Do you like the tree? What is the name of the tree? Page 4
Vbeiz94SyEI--84,Each of the three chiefs had two centers of power.
d494f4d97eb5-30,Trace along the dotted lines. Small little K.
Vbeiz94SyEI--175,Now began writing in Sanskrit. A new form of Buddhism.
77e29639c256-15,New words learnt from this poem.
7d671200482c-72,Suddenly the kite lifted him off the ground and took him over the treetops.
VqlfNumk0cg--205,and get a list in English on Hindi.
mJ69KqzX3lU--52,"stamps can be placed along its width, dash."
57cab2a92c69-85,"Plant that needs support to grow, usually along a wall or a tree."
jDy4C7B8OwI--141,"Right, now you can get to begins case number 6."
cb8925f9924b-4,lived under a log. And every time he spoke.
hM959_pXlrE--42,Some people believe that magnetite was first discovered at a place called Magnesia.
8c94dca71c3c-93,They decided to go for a picnic.
nSQUhb44s5M--136,How much lower is the temperature of Kolkata from that in Chennai?
s8BUs77tQZ4--153,and left a detailed account of what he saw.
ef52bca1a454-71,Begin with Dear Grandfather or Grandmother
ByGP6VSsADs--25,What if green hair grows on my chest?
4b41f9df012f-24,"Now, write the name of animals on the dotted line."
FyPkQyJWsjs--47,I'll carry out his instructions to the letter.
_EVjLdEmSOA--7,who were admiring the dilapidated old building.
jXYcAvK7MTA--189,What were the new administrative arrangements during this period?
hM959_pXlrE--27,Picking up pieces of iron from waste by a crane. Figure 13.2 shows us...
eMuNhD-cV_o_e1,His mental abilities are very good.
83326b7bbc9c-146,Look and fill in the columns.
809a3a5e02d1-42,Helen copied her teacher and spelled D-O-L.
brsHudT88m0_e4,We lived for years in a perpetual state of fear.
fb456e054e47-32,with a ball of wool. 6
BNF2q1Hysj8_d,a condition giving a greater chance of success
a6301b463ff0-87,rearrange these words to form sentences. One.
wgBGl8jJQZQ_e1,The police are keeping the suspect under observation.
1e22be414f61-13,She colored one flower with the violet.
4b41f9df012f-62,Write them on the blackboard as shown above.
XVP5zcTXVtc--117,"Although, there was some amount of control from Partly Putra."
I96CIiP3WZc_e5,The rail strike is a bloody nuisance
d3617db9c8e0-19,only to see them getting into the boat.
ef52bca1a454-21,What does Granny rub on her hair?
UbSkIyCl70A--7,People began transplanting paddy. This meant...
8e2d24eb5abf-70,2. Fill in the grid given below by assigning qualities to each person.
jXYcAvK7MTA--134,in the sea trade between India and Europe. See page 92.
0187f6244784-8,What are you going to do with those vegetables scraps? He asked the cook.
0k_QNlHob74_e2,The school bus broke down and had to be towed to the nearest garage.
a0GJqWQf2so--80,We shall never be able to rest till dawn's end.
343da2e475d7-128,It is just as I feared.
9bxtIE0Tygg--95,The Puranas were written in simple Sanskrit words.
oS9czmlqK6w_e1,His children go everywhere with him.
a0GJqWQf2so--49,was that Tansen should visit Muhammad Gau's of Gwalior.
8957c2f13262-33,This is my neck. This is my mouth.
07285daf5fd0-24,along with the red panda which is the state animal.
iuGT90_P4Qk--80,Are the angles marked with blue equal? Dash
366805e50016-88,An is used before words beginning with a vowel
N6jpL7uibFI_e2,"After her trip to Venezuela, she felt inspired to learn Spanish."
nIjAEHi-6HU--166,Choose those items whose ingredients are obtained from plants.
NwVF-WWZ0Bc--63,How do I find its volume? The boy replies.
3hA8oqpI65k--135,"4, 12 to 16 or 6"
NoVPRWXWUZE--129,His only resource was a dead rat. He started off by selling it.
49d5108ee364-83,"Put a tick, right, if it is true."
dPuKX_lM4Zc--135,Draw some shapes which will look the same after one third turn. 4
UbSkIyCl70A--178,archaeologists have found palaces in the settlements of the Jhanpadhas.
nIjAEHi-6HU--128,Some plants have two or more edible.
3ab94767fe39-41,and the house's roof is pink.
d3617db9c8e0-20,and rowing for life to get to the ship.
117db0aadb7a-24,Put a circle around what you do after a bath.
VqlfNumk0cg--202,partner when she or he wishes you in turn.
5SmzEv-Y3Ao--39,"After making the kite, see if you can fly."
1782bea75c7d-8,No one could think of any way to make it longer.
NwVF-WWZ0Bc--16,She drops 5 marbles in the glass.
pIU3UECqksw_e1,"According to witnesses, the altercation between the two men started inside the restaurant."
343da2e475d7-11,What road passes by Ajay's house?
4uVjzBqNXkE_e2,She saw him talking furtively to another man.
yy5l6mYvqIg_e1,"At the age of 45, she finally fulfilled her ambition to run a marathon."
ovYYEWMtW9M--213,A part of it was probably built about 2500 years ago.
1e22be414f61-98,V. Here you can see some alphabet.
myIXH3PjvoI--9,What is the area of this triangle? The boy is telling?
DEqpFLzcLXY_d,"to need something, or to make something necessary"
LjnS-cnPY0I--136,of the river was called India.
57cab2a92c69-68,"When the last of us has been thrown down, we must quickly get up!"
JyqULf1GsxQ_e1,They usually give you a discount if you buy multiple copies.
LjnS-cnPY0I--235,on top of page number six. On the left side of the picture
831fec5793da-26,Sometimes you want to look and find things for yourself.
6Ht4naTvGCE--26,From its prison behind your eyes.
3AGKPSOZMmc--52,"Just then, the Rishi entered the Ashram."
1f1bb4e3121b-70,and his wrinkled face. On hearing.
ijrjSBx7WTc--28,She fed the baby and dragged him to sleep in his little cradle.
PqLN4NQIi5w--16,We can't go on all night.
a0GJqWQf2so--81,They're declared. One of the courtiers...
YnvT2TZt17c_d,a false reason that you give to explain why you do something
neqDSQkiVI0_e4,What would make you stop stanning an idol?
cfa51960d936-44,The monkeys lived in a jungle. Now.
4c422e10f21d-72,"Won't you come out? Yes, I will."
nLG-B3e-pP0--158,We use strainer to remove tea leaves. Try decantation.
XVP5zcTXVtc--230,How did the Kaling War bring about a change in Ashok's attitude?
d92ec3de5035-21,Thank you. Thank you. Said the lion to the mouse.
DqMYRnRJ94E_e4,The family are struggling to survive on very little money.
nLG-B3e-pP0--64,Pack it off food grain purchased from a shop to the classroom.
d73da12c66f0-62,Whom does she stand for in both?
83326b7bbc9c-154,Match the words in column A.
XVP5zcTXVtc--72,was a gateway to the northwest.
b43a1342f8f5-20,Now make a timetable for yourself.
mJ69KqzX3lU--155,This belt is for the elephant.
533abb879383-154,Here is a sentence given below.
jXYcAvK7MTA--49,These men were known as samantas.
ce825058c63e-27,thanking him for a birthday gift.
NoVPRWXWUZE--80,Usually men from the same family.
00094a2700f5-164,The sun shines in the sky.
VIowkXsLmYg--46,"on seeing her, he ran to welcome her."
4c422e10f21d-44,"Then there is a picture of a flat, a three storey building."
2c7d130870a8-39,to the teacher. Help the children.
u780GxfAR7M_e3,. Joseph feels cranky early in the morning.
O8V8kz6JcFs--233,Write a couple of paragraphs describing what you see and hear.
1cc162c590dc-15,I was writing a letter. Two.
nIjAEHi-6HU--242,Rest blanks are left for your activity.
c02914d169b6-76,In making the strokes show the child how to...
7bccd31315d7-45,What did Grandmother and Mohini draw first?
e6fefaa5242f-70,which has colourful pages. Cut out.
99218fd19f71-11,Sonu ran to Monu's house. The wolf came to Monu's house.
iuGT90_P4Qk--108,then look for the answers on page 29.
NwVF-WWZ0Bc--161,"Now, if all these cubes are arranged in one line,"
1-YUm865HA0--223,Why did the rajas of Mahajanpadas build forts? 6
DEqpFLzcLXY_e3,This project will require massive investment.
soTXzil_LzI--182,"Then the situation changed, what is being referred to?"
XVP5zcTXVtc--212,"Whenever an independent land is conquered, lakhs of people die."
b43a1342f8f5-151,"They blank, leave, left for the stadium. The runners."
6422c75b4261-40,It was very quiet. There was no sound. One hour passed.
s8BUs77tQZ4--82,where he is shown playing the Veena.
UbSkIyCl70A--143,find Greece and Athens in your Atlas.
SVXQA7MYbQg_e4,My husband would never forsake Uncle Brian.
4vfboqjtAXo_d,"a liking for, an enjoyment of, or a habit of doing something."
7d42dce3e967-33,"Say good morning in your own language, to"
faa294a9bc4f-36,The wind blew another little cloud very close by.
f8fc65200887-87,using the word clues given in the box.
d3617db9c8e0-9,This is how he describes his experience.
1e9591008a0d-11,"One day, Kalu wanted to play a trick."
NoVPRWXWUZE--133,The King's Garden was littered with branches and leaves.
343da2e475d7-79,Many of them end in LY.
57cab2a92c69-15,Deep in a forest stood a very tall tree.
IpRLdrFqxKk--172,"In this position, the switch is set to be off as in figure 12.9."
0853cfecacd9-94,In some places you have to add colors
VqlfNumk0cg--85,There was a shock and disbelief.
NwVF-WWZ0Bc--25,Children will need more exercises to compare the volume of solid
U7QdFuJZyho_e1,Her mother was shocked when she started ANSWERING her BACK and refusing to help.
9b0136913690-7,She narrated ancient persian and Arabic folk stories.
iG66ukXl8o0_e1,It is a great honour to be invited.
hM959_pXlrE--60,Place a magnet inside the cup.
343da2e475d7-94,Make a project by drawing or pasting. 1.
57cab2a92c69-147,When do you watch TV? Anu
d80b02f1b480-39,"He is very, very like me, from the heels up to the head. One."
XVP5zcTXVtc--218,That is why I am sad.
VqlfNumk0cg--16,Look up the words and align in the phrases. E
kpJCJ2g6yfQ--17,"When we wake up in the morning, it is not always"
fbd474720a91-50,In a small blue circle you can see small letter E.
43043aa04251-74,Fill in the blanks using the correct given words.
soTXzil_LzI--86,Jumman was cross-examined by Algu and others.
77e29639c256-83,B-A-D bad B-I-G big B-I-T bit
c336d8d84dc2-30,2. write the color of the object
cb8925f9924b-91,One has been done for you. In the red box...
0187f6244784-48,Why did the Maharaja go into the kitchen in the afternoon?
O8V8kz6JcFs--112,The other is called a backtrain camel and has two humps.
a4bbc6c5cd3e-66,Play the parts of the monkey.
VqlfNumk0cg--153,to match with the following. 1
ijrjSBx7WTc--12,went out leaving the child alone with the mongoose.
Zv9uPzMreHQ_e1,I hope this will convince you to change your mind.
it4GglIkMLY--203,Building such huge walls required a great deal of planning.
0853cfecacd9-86,You have to draw some faces.
UbSkIyCl70A--154,All those who wanted to be chosen gave their names and then
mXq8axygjdE--32,"Suddenly, he heard a voice cry out. Quick, hurry up!"
vekaTiI1qjw--6,The king decided to meet him in disguise. Now the story
nLG-B3e-pP0--119,"Usually, a bag full of weight is poured on a slanting sieve."
VqlfNumk0cg--198,To wish your partner good luck and success in...
3AGKPSOZMmc--71,How did the two baby birds get separated?
36a355ab7513-97,Children below 5 years of age?
a4bbc6c5cd3e-9,He eats the sweet leaves at the top of the trees.
ovYYEWMtW9M--91,The priests divided people into four groups called...
eda13bc934dd-130,Connect the dots to complete the words.
ovYYEWMtW9M--31,and it was guarded by the Rajas men.
jDy4C7B8OwI--198,We set up kingdoms in the northwest north.
43043aa04251-68,How old was Meena's brother? A.
5639b93da108-35,What is he doing? Akash is dash
Vbeiz94SyEI--13,The men who spread out their wares came in buses and trucks.
6dvgNioTESo--199,the Buddha tried to spread his message to the people.
dac1fcc8319a-19,Asked Goopu and Doopu together. Page
m1cbIXJlyQo_e1,He was a writer of great narrative power.
1e9591008a0d-7,Appu the elephant was his friend.
nLG-B3e-pP0--190,These pores in a cloth can be used as a filter.
d5d9a14756d5-34,faster than any animal could run.
OSLoq6bVLTQ_e3,A private benefactor donated Rs. 20 lakhs.
iMlR4QLSWok--210,"Diskrype in your own words, your visit to the fair."
Zv9uPzMreHQ_e4,I've been trying to convince her to come with me.
04cf2cb63a7d-32,The female is called a peahen.
vekaTiI1qjw--69,He asked his servant to bring in the chest.
831fec5793da-74,3. Seema wrote her father's name like this
Vbeiz94SyEI--150,and Northwest India around 2000 years ago.
ec20a4dae9f9-54,We have something that you read from. Is it a beak?
43043aa04251-87,The kit is in the dash. 4
1-YUm865HA0--71,Mahapadmā nanda was another important ruler
Z30Ak743EEM_e1,Have I got time to zap into town and do some shopping?
4c10721611b2-99,One has been done for you. One.
366805e50016-87,and the are called articles. Remember!
iMlR4QLSWok--7,Do you like such games? You have such games!
LjnS-cnPY0I--19,What can we know about the past?
fb456e054e47-39,Ask them to notice the words in bold.
cb8925f9924b-35,Do you think Seema should talk?
006faf1f7c93-40,Here in the picture you can see kids riding on a merry-go-round on horses.
tcunPwYlTuU_d,"wanting very much to do or have something, especially something interesting or enjoyable"
9bxtIE0Tygg--24,and include stories about gods. A famous...
_EVjLdEmSOA--83,from a well and drained out.
d5d9a14756d5-76,That the print on the ground was a footprint. 2
Opb1diw9DCg_e3,That was perhaps because he was more garrulous.
8cfebb40f2b9-74,Use Mr. and Mrs. for elder people.
b005df5e411b-87,This pace has been provided for your answers.
nSQUhb44s5M--7,Shivam Bank has a chart to show us.
2b2718e10f2f-102,"Under each brand, find out which flavours are being sold the most."
63b149c11c8e-10,Children bought toys from the shops.
nSQUhb44s5M--17,"Korea, money, won, changed into Indian rupees?"
anCvgjkC1Js_e1,"Dad terrified us with stories of a big, bad giant who ate little children."
HtoVMp9gYOA_e3,"When your superior officer gives you an order, you do it."
006faf1f7c93-42,"But on the merry go round, you can also see a lot of letters."
S5iuebvtDu0--127,make a list of all the objects that archeologists may find.
MjFpCgFgt1A--43,How many sepals does it have?
XVP5zcTXVtc--200,fought a war to conquer Kalinga
IpRLdrFqxKk--23,Electricity to the bulb in a torch is provided by the electric cell.
dac1fcc8319a-1,"Once upon a time, there lived a donkey named Goopu."
u780GxfAR7M_e2,The kids were getting tired and a little cranky.
vekaTiI1qjw--27,The king made the wise shepherd governor of a small district.
nLG-B3e-pP0--52,Sometimes we separate even useful components if we need to use them separately.
817976f7db2d-47,What is this? Fill in the blank.
eabe1f38221a-59,You may use the following clues.
117db0aadb7a-75,Connect the dots to make waves.
36a355ab7513-115,What kinds of books do you like to read? 5
cb8925f9924b-112,is the mouse big or small. And in the third picture...
83326b7bbc9c-176,"In first basket, the words are"
nIjAEHi-6HU--159,Plant part which gives us the ingredient.
6422c75b4261-96,"Now go to sleep paro, her mother closed the book, blank dreams."
it4GglIkMLY--52,and watch the performance of the sacrifice. Priests
NwVF-WWZ0Bc--136,Guess how many litters of water your body will push up?
uukiGvQ8CgQ--28,"At night, the king discovered that the monkeys were also feasting"
mJ69KqzX3lU--191,How many children are there in your class?
5a1348dfe236-16,We go home in the evening.
df4bb619957f-7,I think I would drop down on a nice boy like me.
d80b02f1b480-31,1. Who do you think your shadow looks like?
zoBP39jyRMs--184,Find room on map 6 page 76.
IpRLdrFqxKk--306,The chapter 12 of total 16 chapters of the book ends here.
VqlfNumk0cg--155,Having knowledge of a wide variety of subjects. Three.
d3617db9c8e0-71,and covered me with a clean
LPy4fvBaiOc_e1,Have you two had a lovers' tiff?
dac1fcc8319a-59,"On the green bag, you can see leg. Nest."
hM959_pXlrE--132,school or the places you visit on your holidays
s8BUs77tQZ4--205,"Besides, he checked the advance of Harsh."
ac7d5b8ebe26-5,blue and green feathers on its tail.
1BN1txMJPpo_e1,"I don't like potatoes,"" he moaned."
yzP6HD0Zr3Y--45,nearly quarreled with her over this
3AGKPSOZMmc--6,a mother bird and two young ones.
NwVF-WWZ0Bc--167,the volume of this stage is the same as...
nIjAEHi-6HU--16,List all the items in your notebook as given in table 1.1.
343da2e475d7-33,I load my little boards with shiuli flowers from our garden.
VqlfNumk0cg--164,Use these phrases in sentence of your own after finding out their meanings. 1.
8cfebb40f2b9-95,A cat and a mouse enjoying dinner.
d3617db9c8e0-53,and placed me at some distance on the dining table.
4c10721611b2-7,Farmers grow food and keep animals.
qpxHigzHK9U_e2,I had an opportunity to go to New York and study.
ef52bca1a454-8,"You always take your time, you always take such care."
mJ69KqzX3lU--87,A square carrom board has a perimeter of
soTXzil_LzI--303,You have to write the opposite meaning of these words.
N7O_KBF1Qqc--45,The real aim of this school is not so much to teach thought.
eabe1f38221a-36,What did the frog do all day? Two
6094ad90f864-70,as tiny as blank. As brave as...
it4GglIkMLY--199,and impressive walls around their cities.
lth5T4A_6Bw_e2,These laws will restrict our ancient rights and liberties.
c85ff6c14be3-49,Have you ever seen anything strange on your way to school?
jXYcAvK7MTA--188,What changes do you find in the army at this time? Full
NoVPRWXWUZE--82,The post was hereditary. The post was hereditary.
3b078f38c03b-11,Can you go alone? Or should I call your father?
0726445c45f9-54,What did Nina find when she came back from the wedding?
a008d40f8e85-23,What does the child wonder about his teacher?
57cab2a92c69-13,What happened when you didn't do as they asked you to do?
9bxtIE0Tygg--34,Later he and Kanagi left Puhal.
6422c75b4261-64,The others will listen and hunt for the following. One.
_EVjLdEmSOA--36,The part to the west was smaller but higher.
4c10721611b2-100,What do doctors do? The answer is...
nSQUhb44s5M--145,What is the difference between the temperatures at?
ee235596b76f-42,Apply glue to the outer edge and stick it.
faa294a9bc4f-43,Fill in the letters to complete the crossword puzzle.
3hA8oqpI65k--112,After that it started growing faster.
jXYcAvK7MTA--140,"Prophet Muhammad introduced a new religion, Islam."
62e79450f3da-32,I'm going to sweep the dirt away.
63b149c11c8e-7,People were buying and selling things.
ovYYEWMtW9M--227,and the needed officials to collect these. So?
WabgM-SmPzU_e1,There are three candidates standing in the election.
FyPkQyJWsjs--25,even though his fee was likely to be high.
831fec5793da-22,Have you ever done something naughty?
vA8-Sv3474g_e1,I admired him for his determination.
hM959_pXlrE--162,Check for the location of the poles on these magnets using iron fillings.
d5d9a14756d5-54,I decided to measure it with my own footmark.
7cd20394895c-36,What did Mittu see on the tree?
yzP6HD0Zr3Y--6,Saida mother has not received proper medical.
2b2718e10f2f-83,I saw all of Uncle Lal's cows.
FyPkQyJWsjs--117,saida saw the whole host of them
IpRLdrFqxKk--157,Rotate the safety pin so that it's free and touches the other drawing pin.
O8V8kz6JcFs--107,means move quickly to avoid its enemy.
nIjAEHi-6HU--75,Fill in the blanks in Table 1.3
117db0aadb7a-67,Now do the same for the Bee.
6422c75b4261-29,"Relax, come with me, he said."
ByGP6VSsADs--22,What if I start to cry?
62e79450f3da-83,Change from singular to plural by adding
9bxtIE0Tygg--93,There are accounts about the creation of the world.
kxz4AA9lNmY_e4,"I decline, and feel like a spoilsport."
817976f7db2d-92,Fill in the blanks with is or
831fec5793da-51,Each group takes a big chart paper.
FvCq7gTlVpI_e3,It does no good for you to repine at your unhappy lot.
366805e50016-37,which denote how something is done. The space has been provided for your answers.
I96CIiP3WZc_d,something or someone that annoys you or causes trouble for you.
817976f7db2d-91,Answer fill in the blank. 8
O8V8kz6JcFs--12,Gurbles spend the hottest part of the day in cool underground burrows
2011b172755b-45,to the eggs they have hatched from?
d5d9a14756d5-177,Look at the footprints in the mud.
d73da12c66f0-112,Place you live in physical features.
36a355ab7513-86,Can you write a four line poem?
d5d9a14756d5-175,based on the picture below. You can start as...
jXYcAvK7MTA--126,That was carried with the army.
nSQUhb44s5M--120,Using decimals have been used here.
myIXH3PjvoI--88,"Oh, I thought of doing it differently."
_EVjLdEmSOA--64,and paralleled side it long stone blades.
3a6cfc943757-91,Which of the following actions would make a friendly person write them down?
thB4bYtMedE_d,"expressing disapproval, or suggesting that something is not good or is of no importance"
gM7W5P_OrvQ_d,to (cause something or someone to) change in form or character
MjFpCgFgt1A--6,Which one will help you best to recognize the plant?
XVP5zcTXVtc--27,as well as on rock surfaces. Before we find out what...
1e9591008a0d-146,You can use different materials to decorate each flower.
Nn9spzBqmMs--161,Name a few distinguished Indian musicians.
a4bbc6c5cd3e-93,Can you find the word monkey five times in the box?
V3NiqtfUBm4_d,"Conversation that is written for a book, play or film."
8cfebb40f2b9-41,page 99. Here you can see a...
AVDuEdEExK8_e1,She implored her parents to send her to school.
e6fefaa5242f-51,How many colours can you find hidden in this maze?
vekaTiI1qjw--75,proudly the shepherds said. This my dear master is my only treasure.
iMlR4QLSWok--202,We could buy anything from a blank toy to a blank camel.
ce825058c63e-60,Your letter is ready to be posted to your friend.
iuGT90_P4Qk--36,Is it a closed shape with six sides? Dash.
NoVPRWXWUZE--154,One day the trader told him
5SmzEv-Y3Ao--19,1. List out the action words in the poem
mJ69KqzX3lU--171,You can play this game in a ground.
Zc2bgIDZ-Ks--16,Many people came to him for advice.
NwVF-WWZ0Bc--111,Use your measuring bottle to find out.
6dvgNioTESo--78,They meditated for most of the time.
117db0aadb7a-46,Match the following to make pairs.
ef52bca1a454-73,This is an outline of Meena's grandfather.
0853cfecacd9-29,Binni says. Oh! I know! There is a triangle.
e90d992d5756-11,People go back home. They have dinner.
8cfebb40f2b9-30,The bear family went to the bedroom.
tRdqPGHDEvM--34,The same sequence of motifs is repeated.
c02914d169b6-60,"Red, a hut. Blue, a flat"
2b2718e10f2f-96,You may use the following clues.
a008d40f8e85-31,Who was the first friend you made?
77e29639c256-25,What are the other things found in water?
LjnS-cnPY0I--202,Dig under the surface of the earth.
4c422e10f21d-41,There are many kinds of houses. Circle the ones you have seen.
57cab2a92c69-104,State whether the following statements are true or false. 1.
df4bb619957f-75,See why you like it. First
H7sMDW2U3LQ--39,Why do you think the poet uses the shorter phrases? 3
NoVPRWXWUZE--140,with an offer of sweets for every stick and leave that they could collect.
1f1bb4e3121b-115,near the lower part of a mountain.
ojXO5l3LfoM_e2,The plane will be landing in approximately 20 minutes
9b0136913690-123,Why did the barber want a lot of food?
8e2d24eb5abf-91,Write your answer in the grid provided.
Kiokngu9sGI_e3,The president is immovable on this issue.
ee235596b76f-47,Connect the dots to complete the sentence. A cat?
_SSJde7GrTA--15,We have a square grid shown here with three trees in it.
N7O_KBF1Qqc--119,Though even the most thoughtless child.
1f1bb4e3121b-159,The villagers stared at him because...
myIXH3PjvoI--105,with one sloping line drawn. 2
u2-wesZwy0Y_e1,Lots of people have complained about the noise.
08f145493328-25,What did the child do with the shell? Three.
0187f6244784-82,Pour some coconut oil on top.
36a355ab7513-43,What are the things that the people carry with them while moving around?
fXbEW56zHiA_e2,He says you weren't entirely displeased at the news.
vK4PBDsRZ1E_e3,McLaughlin expects to go home again when the flood waters recede.
KiOQbd1JaDg_e2,Could you help me to pick out the yellow pieces?
it4GglIkMLY--95,The priests divided people into four groups called
mxE6dRbd38c_d,an area of interest or activity
A2VCUgPweiU--14,The sea itself is boundless in extend.
mJ69KqzX3lU--14,Suggest some ways to find out whose piece was bigger.
8e2d24eb5abf-68,Imagine and write what the discussion in the class is about.
j3cflScQLfo_d,relating to how good or bad something is
c68b4073e462-56,Can you name a few of the things that you see in this picture?
831fec5793da-39,to try to grab some biscuits.
408a13a4e222-100,The bridegroom left with the door of his in-laws house.
vekaTiI1qjw--78,Surely you are the governor of a district.
NwVF-WWZ0Bc--96,Molly used an empty medicine bottle.
BNF2q1Hysj8_e1,The advantage of booking tickets in advance is that you get better seats.
992d9f7b37d2-125,Don't go too near firecrackers while lighting them.
rKV7gMudw_o_e3,Willow trees breaking out into buds foretell the coming of spring.
nnIo6Q41SY0_e3,3.Those two lines of poetry express perfectly the profound sadness of loss.
ed5590797795-107,and follow the pattern for these two.
43043aa04251-100,"In, when the cat ran dash"
a008d40f8e85-77,Choose the correct word from the ribbon and then fill in the blanks.
1cc162c590dc-42,I was sitting in a taxi yesterday when... Blank!
7bccd31315d7-69,Draw a face on the balloon below.
5a1348dfe236-69,Now we have 31 days in May month.
A2VCUgPweiU--52,out of every ten are not able to answer.
817976f7db2d-35,"3, fill in the blank, matching the color in the box."
TYbsjtUmRmQ--167,from one of the most famous Upanishads. The Chhandogya.
vK4PBDsRZ1E_e4,Luke's footsteps receded into the night.
6dvgNioTESo--228,"Listen! In HD tech technology fantasy, creation, cultures, fiction, etc."
N7O_KBF1Qqc--92,During the blind day their eyes are bandaged absolutely.
pQfkhE7-uoA_d,"to say that someone has done something morally wrong, illegal, or unkind"
4ea55d87345a-43,The mother tiger liked to roar.
d2e656de0bda-38,to draw pictures of the day sky and night sky
tRdqPGHDEvM--141,We have a square grid with three columns and three rows.
533abb879383-77,"So, his garden dried up. Page number."
HJEGTd-qang_e4,Uncle Charlie was jobless and penniless.
A2VCUgPweiU--127,You will learn more about these temples in Chapter 11. Bhakti Inspired.
6dvgNioTESo--76,women had to take their husbands permission.
vG5O-N2If4U_e1,"I knew a lot about the subject already, but her talk was interesting nevertheless."
it4GglIkMLY--117,Both women and Shudras were not allowed to study the Vedas. The priests
1e9591008a0d-91,"You have to circle the odd one out, remember?"
817976f7db2d-49,What is this? Write the answer.
0853cfecacd9-16,Go to the park with their mother.
xGBTymkkD5w_e1,My arm was very tender after the injection.
d73da12c66f0-6,Snow White! Snow Bright was her mane
Q26Pd5kro4c_e4,He pulled on his clothes and stumbled into the kitchen.
H_ry9HoXblM_e4,The pilot attempted a crash-landing on the beach.
c85ff6c14be3-13,Haldi was surprised and happy too.
1e9591008a0d-106,"In the fourth one, there's a bus."
IcTCDlydAHk_e2,I'm not properly dressed for this kind of weather.
zoBP39jyRMs--172,"Roman lamps, glassware and gems have also been found at the site."
NoVPRWXWUZE--197,"may not have survived. On the right hand side of the speech,"
Q26Pd5kro4c_e3,we could hear her stumbling about/around the bedroom in the dark.
2011b172755b-75,"Do what I do! Up, down, oh, oh!"
LjnS-cnPY0I--228,was inscribed in two different scripts and languages.
Vbeiz94SyEI--36,as many Roman gold coins have been found in South India.
it4GglIkMLY--178,"As is obvious from the name, these grey parts."
gM7W5P_OrvQ_e2,Most of the families in the community converted recently.
21Toxytaq_A_d,to support or improve something or make it stronger
jDy4C7B8OwI--113,from the area under the direct control of the ruler.
8e2d24eb5abf-67,Look at the picture in the poem.
eda13bc934dd-79,Every morning she feeds her animals with dash.
Vbeiz94SyEI--147,They often protected the traders who passed through their kingdoms from attacks by robbers.
5iIb7JC1mC8_d,"to shake slightly, often because of strong emotion"
mzdCh_9o5JA_e2,He behaved like a petulant child and refused to cooperate.
iMlR4QLSWok--56,I paid 50 pesos and took six discs.
7d671200482c-30,The Topsy Tubby Land is very different from our lands.
Vbeiz94SyEI--160,These were used by traders along the Silk Route.
zoBP39jyRMs--8,and experienced local fishermen who were employed by the king.
f8fc65200887-68,Form questions for the answers given in the speech bubbles.
43a0131cb836-58,Trace the dots to form the word.
mJ69KqzX3lU--23,"Altogether, how many squares can be arranged on it?"
zoBP39jyRMs--74,about whom you will be reading in chapter 9.
tRdqPGHDEvM--143,Number 25 is written in the middle.
e6fefaa5242f-11,You see them shining far away.
1782bea75c7d-16,saw what he drew and said.
9bc677ce073e-23,Bunny looks at him. Hello Moti
c85ff6c14be3-9,But I have never met a giraffe like you.
mvsesnKooAA_e1,The misunderstanding had caused a seven-year estrangement between them.
99218fd19f71-9,I will huff and puff. I will blow your house down.
0fb8102d6c95-69,Match the animals with their sounds. A
60c9973b69ed-44,caught doing something you were not supposed to do.
992d9f7b37d2-23,only after sunset. On this day.
bJA2HuIKJTQ_e2,"I don't agree at all, I'm afraid."
43a0131cb836-4,A tiger was dozing under a tree.
Vbeiz94SyEI--235,Each of these pilgrims left an account of his journey.
nLG-B3e-pP0--165,Which method of separating T leaves from prepared T is better? De-cantation or filtration?
343da2e475d7-42,1. See the picture travel time below
zoBP39jyRMs--106,"and Madurai in the South, both men and women."
pgdu5wisL_g_e3,Are you fishing for (= trying to get) compliments?
5SmzEv-Y3Ao--24,Find out the meanings of these words.
nLG-B3e-pP0--91,Make a mixture of dry sand with sawdust or powdered dry leaves.
jXYcAvK7MTA--203,Wars affect the lives of ordinary people today.
Vbeiz94SyEI--214,Buddhism also spread southeastwards to Sri Lanka.
6422c75b4261-4,grandfather gave my brother and me some money
MjFpCgFgt1A--74,Are the sepals joined or separate?
